ID,ODNB_ID,displayName,prefix,firstName,lastName,suffix,title,gender,birthYearType,birthYear,deathYearType,deathYear
10004996,11037,George Gordon,,George,Gordon,,,male,IN,1590,IN,1649
10003529,7680,Theodore Diodati,,Theodore,Diodati,,,male,IN,1573,IN,1651
10010591,0,Michael Rysbrack,,Michael,Rysbrack,,,male,IN,1694,IN,1770
10011376,26152,James Spiller,,James,Spiller,,,male,IN,1692,IN,1730
10007461,0,Nicholas Ling,,Nicholas,Ling,,,male,BF,1560,AF,1603
10008101,18379,Andrew Maunsell,,Andrew,Maunsell,,,male,CA,1560,CA,1604
10010929,76760,Anne Shadwell,,Anne,Shadwell,,,female,IN,1661,IN,1705
10010283,23584,Sir Thomas Richardson,Sir,Thomas,Richardson,,,male,IN,1569,IN,1635
10010564,24345,William Russell,,William,Russell,,,male,IN,1634,IN,1696
10008814,20061,John Newton,,John,Newton,,,male,IN,1621,IN,1678
10003064,67206,Andrew Crooke,,Andrew,Crooke,,,male,IN,1605,IN,1674
10050065,,Susanna Shakespeare,,Susanna ,Hall,,,female,IN,1583,IN,1649
10002924,66718,Sarah Cowper,,Sarah,Cowper,,,female,IN,1644,IN,1720
10008997,20462,Murrough O'Brien,,Murrough,O'Brien,,,male,AF,1441,IN,1551
10050068,,Catherine Trotter,,Catherine,Trotter,,,female,CA,1694,IN,1740
10010845,24985,Lazarus Seaman,,Lazarus,Seaman,,,male,AF,1565,IN,1675
10012319,28228,Sir Edmund Verney,Sir,Edmund,Verney,,,male,IN,1590,IN,1642
10003178,6984,John Cutts,,John,Cutts,,,male,IN,1660,IN,1707
10011949,27430,Robert Tichborne,,Robert,Tichborne,,,male,IN,1610,IN,1682
10000223,63653,Arthur Annesley,,Arthur,Annesley,,,male,IN,1678,IN,1737
10050070,,Roger Sterne,,Roger,Sterne,,,male,CA,1692,IN,1731
10013163,30072,Henry Wriothesley,,Henry,Wriothesley,,,male,IN,1545,IN,1581
10010886,25088,Richard Senhouse,,Richard,Senhouse,,,male,AF,1516,IN,1626
10010434,24031,Peter Rollock of Pilton,,Peter,Rollock,of Pilton,,male,IN,1558,IN,1632
10003283,67265,Thomas Dare,,Thomas,Dare,,,male,AF,1575,IN,1685
10009725,22291,Sir Paul Pindar,Sir,Paul,Pindar,,,male,IN,1565,IN,1650
10012920,29516,John Williams,,John,Williams,,,male,IN,1633,IN,1709
10012500,28651,Sir George Walton,Sir,George,Walton,,,male,IN,1664,IN,1739
10003118,71078,Thomas Culpeper,,Thomas,Culpeper,,,male,IN,1635,IN,1689
10001719,3837,George Buchanan,,George,Buchanan,,,male,IN,1506,IN,1582
10007379,46402,William Leving,,William,Leving,,,male,AF,1557,IN,1667
10050077,,Sir William St Loe,,William,St Loe,,,male,CA,1520,CA,1565
10001903,4266,Henry Bynneman,,Henry,Bynneman,,,male,BF/IN,1542,IN,1583
10003284,7149,William Darell,,William,Darell,,,male,AF,1470,AF/IN,1580
10002534,47927,Sir John Clerk of Penicuik,Sir,John,Clerk,of Penicuik,,male,IN,1649,IN,1722
10011071,25485,Josias Shute,,Josias,Shute,,,male,IN,1588,IN,1643
10001610,3555,Samuel Brooke,,Samuel,Brooke,,,male,IN,1575,IN,1631
10010893,25114,Alexander Seton,,Alexander,Seton,,,male,IN,1621,IN,1691
10006262,67994,Katherine Howard,,Katherine,Howard,,,female,IN,1545,IN,1603
10008648,19649,Sir Thomas Murray of Glendoick,Sir,Thomas,Murray,of Glendoick,,male,CA,1633,IN,1684
10002319,67700,Livewell Chapman,,Livewell,Chapman,,,male,IN,1643,IN,1665
10003086,52645,Nathaniel Crouch,,Nathaniel,Crouch,,,male,CA,1640,CA,1725
10007902,17893,Thomas Mallory,,Thomas,Mallory,,,male,IN,1604,IN,1671
10011350,26100,Hugh Speke,,Hugh,Speke,,,male,IN,1656,IN,1724
10012063,0,Walter Travers,,Walter,Travers,,,male,CA,1548,IN,1635
10009525,21842,Sir John Penington,Sir,John,Penington,,,male,CA,1584,IN,1646
10007283,16352,George Legge,,George,Legge,,,male,IN,1647,IN,1691
10011544,12999,Francis Stewart,,Francis,Stewart,,,male,IN,1562,IN,1612
10006199,13813,Sir Jerome Horsey,Sir,Jerome,Horsey,,,male,AF,1516,IN,1626
10011483,57603,Thomas Stanwix,,Thomas,Stanwix,,,male,IN,1670,IN,1725
10050064,,Elizabeth Chaloner,,Elizabeth,Chaloner,,,female,IN,1604,AF,1624
10050067,,Joseph Hall,,Joseph,Hall,,,male,IN,1693,IN,1731
10001499,3298,William Bray,,William,Bray,,,male,AF,1533,IN,1643
10050072,,Samuel Reynolds,,Samuel,Reynolds,,,male,IN,1681,IN,1745
10000541,0,Matthew Baker,,Matthew,Baker,,,male,IN,1529,IN,1613
10013209,30159,John Wynne,,John,Wynne,,,male,IN,1665,IN,1743
10011108,25578,Christopher Simpson,,Christopher,Simpson,,,male,IN,1602,IN,1669
10011879,27238,Samuel Thomas,,Samuel,Thomas,,,male,IN,1626,IN,1693
10003373,28215,John de Vere,,John,de Vere,,,male,IN,1482,IN,1540
10050142,25073,Sir James Sempill,Sir,James,Sempill,,,male,CA,1566,IN,1626
10050074,,Humphrey Potter,,Humphrey,Potter,,,male,CA,1670,AF/IN,1688
10003297,95064,William Dauntsey,,William,Dauntsey,,,male,IN,1480,IN,1543
10002219,4929,Christian Cavendish,,Christian,Cavendish,,,male,IN,1595,IN,1675
10005972,13314,William Hill,,William,Hill,,,male,IN,1647,IN,1662
10004354,9669,John Flamsteed,,John,Flamsteed,,,male,IN,1646,IN,1719
10006102,13588,Abraham Holmes,,Abraham,Holmes,,,male,AF,1575,IN,1685
10001733,3882,John Budden,,John,Budden,,,male,IN,1566,IN,1620
